Demgraphic  infromation,Gender,Age,Marital Status,Are you living with Family?,Where do you live in Dhaka?,Type of your current living place? ,"How safe do you think your current place is from vector borne (Dengue, Malaria, Chikungunya, Kala-azar, Filariasis) diseases?",Which vector borne diseases  you had before?,What is your Education level? ,"Which media you use most for vector borne diseases (Dengue, Malaria, Chikungunya, Kala-azar, Filariasis) and precautionary measures related information? ",Which one you use most to reduce mosquito?,"Do you think COVID-19 Pandemic has negative impact on Vector borne disease, such as dengue and Chikungunya surveillance activities?  ",What is your present occupation status?,Do you belive Climate Change?,"Do you k0w that climate change (temperature, rainfall change) can affect on the number of vector, such as 0and 0transmitting  mosquito?",Which vector borne disease is 0t transmitted by mosquito? ,Do you k0w vector borne disease such as 0and 0is an infectious disease? ,Do you k0w 0fever can cause death?,"Do you k0w the Common Symptoms of 0and 0infection are Rash, Headache, High Fever, Joint Pain, Muscle Pain, Nausea ? ",Do you k0w that people can have 0or 0virus even without any (or mild symptoms) symptoms? ,Do you k0w one person can be infected with 0 virus more than once ? ,Do you k0w second time 0infection can be severe?,Do you k0w 0virus can be transmitted from infected pregnant mother to fetus? ,By which type of Aedes  mosquito 0and 0virus is transmitted ?,Does Aedes mosquito has stripes on the body?,Do you k0w where Aedes mosquitoes breed ? ,Aedes mosquito can breed both indoor and outdoor,Aedes  Mosquito likes to bite early in the morning and late evening,Do you k0w health call center number (16263) from Directorate General of Health Service? ,I should be careful about climate change and the effect of it on vector borne diseases,Climate Change Awareness program is required to reduce vector borne disesase outbreak ,"There should be early warning system for climate change problem (extreme heat, heavy rainfall, flood, drought) and its impact on vector borne disease",It is my responsibility to make sure there are no Aedes eggs and/or larvae in my house area,"My family members and neighbors should clean mosquito breeding site like water containers, storage tank, Plant pot one to three times a week.  ","Only chemical fogging by the authority is not enough to prevent vector borne diseases such as, Dengue and Chikungunya infection,  authority should also demolish the potential breeding sites. ",We should check Dengue and Chikungunya situation or hotspots around our area regularly ,It is necessary to continue the removal of mosquito breeding sites even during the period when there is no outbreak.  ,Dengue and Chikungunya outbreak in my community can be controlled if every household is committed to remove mosquito breeding sites ,I will take part in a public activity for Dengue and Chikungunya control or removal of mosquito breeding sites ,"If my family member has symptom of dengue and Chikungunya fever, I will bring him/her to see a doctor for immediate treatment ",I am concerned about vector borne diseases (such as dengue and Chikungunya) even in the Coronavirus pandemic time  ,"I follow practices (proper use of water, electricity, waste management) to lessen the climate change risk","I follow trusted sources, such as national and international media, local and national authorities for climate change and its impact on vector borne diseases ",I Call Municipality  authority for fogging.,I follow different ways (aerosol and/or liquid mosquito repellent and/or mosquito coil and/or electrical mosquito mat and/or mosquito bed net) to reduce mosquito,I wear proper cloth to protect from mosquito biting ,"I take extra precautions when I travel, to protect from mosquito biting ",I properly cover  Water containers used for water storage,"I keep the water-holding containers (tires, plastic bottles, parts of automobiles, cracked pots, plant pots) clear and drain the extra water  ",I scrub and clean the inner sides of the containers ,I Check for the presence of Aedes eggs and/or larvae inside or outside the house ,I visit hospital for test and treatment when I see symptoms of Dengue and Chikungunya ,I follow these vector borne diseases reduction practices even in the Coronavirus pandemi,Knowledge,Attitude,Pracitce,KAP,K_mean_sd,A_mean_sd,P_mean_sd,KAP_mean_sd,k_score,A_score,P_score
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Moderately Safe ,None ,Tertiary (University/National University) ,University ,Mosquito nets ,Yes,University Students,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,1,0,1,1,1,1,1,1,1,0.81,1,0.83,0.88,,,,,13,60,9
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,More than 5 story building ,Safe ,None ,Tertiary (University/National University) ,Social Media,Electrical mosquito bat ,No ,University Students,1,1,0,0,1,1,0.5,1,0.5,0.5,1,1,1,1,1,1,5,5,5,5,5,4,5,4,4,5,5,4,1,1,0,1,0,1,1,1,1,0,0,1,0.78,0.93,0.67,0.79,,,,,12.5,56,7
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Moderately Safe ,None ,Tertiary (University/National University) ,University ,Mosquito nets ,Yes,University Students,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.98,1,0.97,,,,,15,59,11
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Moderately Safe ,Chikungunya ,Tertiary (University/National University) ,"Electronic media (TV, Radio)",Mosquito nets ,Yes,University Students,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.6,1,0.85,,,,,15,36,11
,Female,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,Up to 5 story building,Safe ,None ,Tertiary (University/National University) ,Social Media,Mosquito nets ,Yes,University Students,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4,1,1,0,1,0,1,1,1,1,1,1,1,0.81,0.98,0.83,0.88,,,,,13,59,9
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Unsafe ,None ,Tertiary (University/National University) ,Social Media,Mosquito repellent/aerosol ,Yes,University Students,1,1,0,0.5,1,1,1,1,1,0.5,0,0.5,0,0.5,1,1,5,5,4,4,4,5,5,4,4,4,4,4,1,1,0,1,1,0,1,1,1,0,1,1,0.69,0.87,0.75,0.77,,,,,11,52,8
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,More than 5 story building ,Very Safe,None ,Tertiary (University/National University) ,"People (Community, Family Members)",Mosquito repellent/aerosol ,Yes,University Students,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0.69,1,1,0.9,,,,,11,60,11
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,More than 5 story building ,Very Unsafe,None ,Tertiary (University/National University) ,"Electronic media (TV, Radio)",Mosquito coil,Yes,University Students,1,1,0,0,1,0,0.5,1,1,1,1,1,1,1,1,0,5,5,4,5,5,5,5,5,5,5,5,5,1,1,0,1,1,1,1,1,1,1,1,1,0.72,0.98,0.92,0.87,,,,,11.5,59,10
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Unsafe ,None ,Tertiary (University/National University) ,Social Media,Mosquito coil,Yes,University Students,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,5,5,5,5,5,5,5,5,3,5,5,4,1,1,0,1,1,1,1,1,1,0,0,1,0.75,0.95,0.75,0.82,,,,,12,57,8
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,Up to 5 story building,Moderately Safe ,None ,Tertiary (University/National University) ,Social Media,Window nets ,Maybe ,University Students,1,1,0,1,1,0.5,0,0,0,1,1,1,1,1,1,0,4,4,4,5,5,4,4,4,4,4,5,4,1,0,0,0,0,0,0,1,1,1,1,1,0.66,0.85,0.5,0.67,,,,,10.5,51,5
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,More than 5 story building ,Moderately Safe ,None ,Tertiary (University/National University) ,Social Media,Mosquito coil,Yes,University Students,1,1,1,0,1,0,0,1,0,1,0,0.5,0,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,1,0,1,1,0,1,0,1,0,0.53,0.8,0.58,0.64,,,,,8.5,48,7
,Female,18-25 years,Unmarried ,No,Dhaka North City Corporation ,Up to 5 story building,Safe ,None ,Tertiary (University/National University) ,University ,Mosquito nets ,Maybe ,University Students,1,1,0,1,1,1,0.5,1,0.5,1,1,0.5,0,1,1,1,5,4,5,4,4,5,5,5,5,4,4,5,1,1,0,1,1,1,1,1,1,0,1,1,0.78,0.92,0.83,0.84,,,,,12.5,55,9
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Moderately Safe ,Chikungunya ,Tertiary (University/National University) ,Social Media,Mosquito repellent/aerosol ,Yes,University Students,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,4,3,1,1,0,1,0,0,1,1,1,1,0,0,0.81,0.95,0.58,0.78,,,,,13,57,6
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Moderately Safe ,Dengue ,Tertiary (University/National University) ,Internet ,Mosquito repellent/aerosol ,Yes,University Students,1,1,0,1,1,0.5,0.5,0.5,0.5,1,0,0.5,0,0.5,1,1,5,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,0,1,0,1,0,1,0,1,0.63,0.82,0.58,0.68,,,,,10,49,6
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,More than 5 story building ,Unsafe ,None ,Tertiary (University/National University) ,Internet ,Window nets ,Yes,University Students,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,5,5,5,5,5,5,5,4,4,4,5,4,1,1,0,0,1,0,1,1,0,1,1,0,0.81,0.93,0.58,0.78,,,,,13,56,6
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Unsafe ,Dengue ,Tertiary (University/National University) ,"People (Community, Family Members)",Mosquito nets ,Maybe ,University Students,1,1,0,0.5,0.5,0,0,1,1,0,0,1,0,0.5,0.5,0,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,1,0,0,0,0,1,0.44,0.8,0.58,0.61,,,,,7,48,6
,Male,18-25 years,Unmarried ,No,Dhaka South City Corporation ,Up to 5 story building,Moderately Safe ,None ,Tertiary (University/National University) ,Internet ,Electrical mosquito bat ,Yes,University Students,1,1,0,0,1,1,0.5,1,0.5,0.5,1,0.5,1,0.5,0.5,1,5,4,4,3,4,5,4,4,4,4,4,3,1,1,0,1,1,0,1,1,0,0,1,0,0.69,0.8,0.58,0.69,,,,,11,48,6
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,More than 5 story building ,Moderately Safe ,None ,Tertiary (University/National University) ,Internet ,Mosquito nets ,Yes,University Students,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,4,5,5,4,4,4,4,3,1,1,0,1,0,0,1,1,1,0,1,0,0.88,0.87,0.58,0.78,,,,,14,52,6
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Very Safe,None ,Tertiary (University/National University) ,Social Media,Mosquito coil,Yes,University Students,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,1,1,1,1,1,1,0.88,0.8,0.92,0.86,,,,,14,48,10
,Male,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,More than 5 story building ,Moderately Safe ,None ,Tertiary (University/National University) ,Social Media,Mosquito nets ,Yes,University Students,1,1,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,5,5,5,5,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0.91,0.93,1,0.95,,,,,14.5,56,11
,Male,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,Up to 5 story building,Moderately Safe ,None ,Tertiary (University/National University) ,"Electronic media (TV, Radio)",Mosquito coil,Maybe ,University Students,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,0,0,1,1,1,1,1,1,0.88,1,0.83,0.9,,,,,14,60,9
,Male,26-35 years ,Unmarried ,Yes,Dhaka North City Corporation ,More than 5 story building ,Very Safe,None ,Tertiary (University/National University) ,Social Media,Mosquito repellent/aerosol ,Yes,Business ,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,5,5,5,5,5,5,5,5,5,1,1,0,1,0,1,1,1,1,1,1,1,0.94,0.97,0.83,0.91,,,,,15,58,9
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Safe ,None ,Tertiary (University/National University) ,Internet ,Mosquito coil,Yes,University Students,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.92,,,,,12,60,11
,Female,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,Up to 5 story building,Moderately Safe ,None ,Tertiary (University/National University) ,Internet ,Mosquito nets ,Yes,University Students,1,1,0,0,1,1,1,0,0,1,1,0.5,0,1,1,0,5,5,5,5,5,5,5,5,5,3,5,5,1,1,0,1,0,1,1,1,1,1,0,1,0.59,0.97,0.75,0.77,,,,,9.5,58,8
,Female,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,Up to 5 story building,Unsafe ,Chikungunya ,Tertiary (University/National University) ,Social Media,Mosquito nets ,No ,University Students,1,1,0,1,1,1,0.5,1,1,0.5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,0,1,0,1,0,0,1,0,0,0,1,0,0.88,1,0.33,0.74,,,,,14,60,4
,Female,18-25 years,Unmarried ,No,Dhaka North City Corporation ,More than 5 story building ,Moderately Safe ,None ,Tertiary (University/National University) ,Internet ,Mosquito nets ,Maybe ,University Students,1,0.5,0,0,1,1,0,1,1,1,1,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,1,1,1,1,1,1,1,1,1,0.72,1,0.92,0.88,,,,,11.5,60,10
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Very Unsafe,None ,Tertiary (University/National University) ,Social Media,Mosquito coil,Yes,University Students,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,0,1,0,1,1,1,1,1,1,1,1,1,0.81,1,0.83,0.88,,,,,13,60,10
,Male,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,More than 5 story building ,Moderately Safe ,None ,Higher Secondary ,Internet ,Mosquito nets ,Yes,University Students,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,5,5,5,5,3,4,2,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0.88,0.88,1,0.92,,,,,14,53,11
,Male,26-35 years ,Unmarried ,Yes,Dhaka South City Corporation ,More than 5 story building ,Moderately Safe ,None ,Tertiary (University/National University) ,Internet ,Mosquito repellent/aerosol ,Yes,Business ,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,1,1,1,1,1,1,1,1,1,0.75,1,0.92,0.89,,,,,12,60,10
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,More than 5 story building ,Safe ,None ,Tertiary (University/National University) ,Internet ,Mosquito coil,Yes,University Students,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,1,1,1,1,1,1,0,1,1,0.88,1,0.83,0.9,,,,,14,60,9
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,More than 5 story building ,Moderately Safe ,Malaria ,Tertiary (University/National University) ,"People (Community, Family Members)",Mosquito repellent/aerosol ,Yes,University Students,1,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,0,1,1,1,1,1,1,0.84,0.8,0.83,0.83,,,,,13.5,48,9
,Female,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,More than 5 story building ,Unsafe ,None ,Tertiary (University/National University) ,Social Media,Mosquito coil,Yes,University Students,1,1,0,0.5,1,1,0.5,1,0.5,1,0,1,0,0.5,1,1,5,4,4,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0.69,0.95,1,0.88,,,,,11,57,11
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Moderately Safe ,Chikungunya ,Tertiary (University/National University) ,University ,Mosquito repellent/aerosol ,Maybe ,University Students,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0.5,0,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0.59,1,1,0.86,,,,,9.5,60,11
,Male,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,More than 5 story building ,Unsafe ,None ,Tertiary (University/National University) ,Internet ,Mosquito nets ,Maybe ,University Students,1,1,0,1,1,0.5,1,1,0.5,0.5,1,1,0,1,1,1,5,3,4,4,4,3,4,3,4,4,5,2,1,1,0,1,1,0,1,1,1,0,0,0,0.78,0.75,0.58,0.7,,,,,12.5,45,6
,Male,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,"Mixed-use building (Shop, factory, office, and residence in the same building)",Unsafe ,Chikungunya ,Tertiary (University/National University) ,Social Media,Mosquito nets ,No ,University Students,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,5,5,5,5,3,5,5,1,1,0,1,1,1,1,0,1,0,0,1,0.81,0.97,0.67,0.82,,,,,13,58,7
,Male,26-35 years ,Unmarried ,No,Dhaka South City Corporation ,"Mixed-use building (Shop, factory, office, and residence in the same building)",Moderately Safe ,Malaria ,Tertiary (University/National University) ,University ,Mosquito nets ,Yes,Unemployed ,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,5,4,4,5,4,5,4,3,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0.81,0.88,1,0.9,,,,,13,53,11
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,More than 5 story building ,Very Safe,None ,Higher Secondary ,"Electronic media (TV, Radio)",Electrical mosquito bat ,Yes,University Students,1,1,0,0,1,1,1,1,0.5,1,1,1,0,1,0,0,5,5,5,5,5,5,5,5,5,4,5,5,1,1,0,1,1,1,1,1,1,1,1,1,0.66,0.98,0.92,0.85,,,,,10.5,59,10
,Female,26-35 years ,Unmarried ,Yes,Dhaka North City Corporation ,More than 5 story building ,Unsafe ,None ,Tertiary (University/National University) ,Internet ,Mosquito nets ,Yes,Employed ,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.5,0,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,1,1,0,1,0,1,0,1,0,0.84,1,0.5,0.78,,,,,13.5,60,5
,Male,18-25 years,Unmarried ,No,Dhaka North City Corporation ,More than 5 story building ,Safe ,None ,Tertiary (University/National University) ,Internet ,Mosquito nets ,Yes,University Students,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4,5,4,5,4,5,5,4,4,4,5,4,0,1,0,1,1,1,1,1,1,1,1,1,0.81,0.88,0.83,0.84,,,,,13,53,10
,Female,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,Up to 5 story building,Moderately Safe ,Dengue ,Tertiary (University/National University) ,Internet ,Electrical mosquito bat ,Yes,University Students,1,1,0,0,1,1,1,1,0.5,0,1,0.5,1,1,1,1,5,4,4,5,5,5,5,4,4,4,4,4,1,1,0,1,1,1,1,1,1,1,1,1,0.75,0.88,0.92,0.85,,,,,12,53,10
,Male,18-25 years,Unmarried ,Yes,Dhaka South City Corporation ,More than 5 story building ,Moderately Safe ,None ,Tertiary (University/National University) ,Internet ,Mosquito repellent/aerosol ,Maybe ,Unemployed ,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,5,4,4,5,5,5,4,4,5,4,5,4,1,1,1,1,1,0,1,1,0,0,1,1,0.63,0.9,0.75,0.76,,,,,10,54,8
,Female,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Safe ,Dengue ,Tertiary (University/National University) ,"People (Community, Family Members)",Mosquito repellent/aerosol ,Yes,University Students,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5,4,5,5,5,4,4,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,0.94,0.93,1,0.96,,,,,15,56,11
,Male,18-25 years,Unmarried ,Yes,Dhaka North City Corporation ,Up to 5 story building,Moderately Safe ,None ,Tertiary (University/National University) ,Internet ,Electrical mosquito bat ,Yes,University Students,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,5,5,5,5,3,4,4,4,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,0.69,0.83,1,0.84,,,,,11,50,11
